#Steps ,and Temp, are followed by (rej, acc) for each MC Move.
#(nStep, T) TRANS CLSTER SM_CLSTER FACE LOCAL DBPVT PIVOT BR_ROT
193000001	1.00	204968	562234	524362	244793	678664	89526	114792	13638	100631	26168	104637	23604	54988	21543	1703	3427	64741	11801	72677	3826	75026	2251	
196000001	1.00	210037	558239	530834	237723	675349	91357	114438	13189	102310	25956	106253	21854	57090	19825	4641	527	64941	11565	73462	3760	74153	2497	
199000001	1.00	207533	560880	528898	238828	678017	89886	114762	13454	101953	25931	105039	22440	56082	20692	3911	1251	64763	11660	73046	3850	74796	2328	
202000001	1.00	208709	559550	528205	238903	678811	89950	114963	13222	101983	25853	105517	22567	56287	20830	2473	2563	64801	11571	73292	3836	73623	2490	
205000001	1.00	203763	565006	521972	244986	679660	88515	114204	13836	101566	26823	103853	23810	54010	22842	2479	2574	64897	11947	72688	3854	74447	2268	
208000001	1.00	201473	566674	520350	247643	679414	88109	113469	14061	101376	26785	103897	24345	54562	22461	1230	4007	64831	12154	72622	3799	74504	2233	
211000001	1.00	205206	563597	524943	242290	680034	87909	114010	13579	102251	25584	104726	23278	55086	21460	5145	0	65388	11705	73027	3910	74280	2592	
214000001	1.00	208024	560709	527403	241076	676216	90472	114220	13425	102205	26043	105377	22905	55991	20454	1248	3913	65095	11680	72894	3826	74475	2349	
217000001	1.00	208871	559359	530216	238041	676900	91054	114406	13058	102273	25929	106596	22374	56411	20325	3685	1537	64364	11638	72540	3847	74254	2322	
220000001	1.00	207461	560969	528330	239419	679787	88921	114489	13460	101106	26732	104937	23086	54943	21573	1007	4098	64646	11687	73007	3862	74243	2236	
223000001	1.00	208317	559610	528942	238078	678295	90117	114844	13273	101774	26007	105995	22682	56370	20608	3148	2009	64679	11801	73056	3845	74097	2453	
226000001	1.00	208103	559662	529952	238093	677529	90246	114721	13166	101828	25494	105414	22976	56329	20375	2467	2564	65149	11695	73329	3872	74612	2424	
229000001	1.00	208041	560286	528428	239670	677179	90796	114738	13067	102238	25621	105425	22475	56344	20705	1878	3243	64865	11793	72549	3784	74570	2305	
232000001	1.00	205686	562006	526398	241799	679459	88627	114217	13568	101665	26388	104195	23861	55210	21692	1724	3433	64417	11740	73457	3929	74086	2443	
235000001	1.00	206496	562122	527858	238721	680051	88347	115182	13257	100859	26531	105140	23098	55183	21612	3121	1985	64841	11951	72951	3887	74560	2246	
238000001	1.00	206320	562557	527917	239998	679573	87560	114508	13469	101508	26749	103726	23735	54847	21962	789	4408	64581	11836	73237	3861	74464	2395	
241000001	1.00	207088	561362	527720	239599	678765	90028	114320	13436	101995	26106	104820	22704	56020	20717	2051	2970	64707	11852	72782	3842	74717	2397	
